column1_charwithnull,column2_char,column3_cat1,column4_cat2,column5_int,column6_formula
N,N,SS,B,1727,275599.0
,Y,COMP,A,2670,42375.42857142857
N,Y,SS,A,2203,20746.545454545456
,N,SS,G,2778,73051.33333333333
N,Y,COMP,G,2311,29545.25
,Y,SS,G,2351,4172.6
Y,Y,SS,G,256,125426.5
,N,COMP,G,201,4857.9
Y,N,SS,A+,696,9379.75
N,N,COMP,G,1141,54127.25
,Y,SS,B,2412,116848.0
Y,Y,COMP,G,1239,23497.0
N,N,SS,A,1763,35001.333333333336
N,N,COMP,G,2787,26603.4
N,N,COMP,G,2093,234862.0
N,Y,COMP,A,666,8452.461538461539
Y,Y,SS,A,1558,19431.555555555555
,Y,SS,B,1658,8220.181818181818
N,Y,SS,B,685,34706.5
N,N,SS,G,2110,13689.666666666666
Y,Y,SS,B,496,7143.333333333333
N,N,COMP,B,381,86687.33333333333
N,N,SS,G,1667,18074.75
N,Y,COMP,A,1082,2797.5384615384614
N,Y,COMP,G,2238,139064.0
N,Y,SS,A,2234,98329.0
Y,N,COMP,G,2651,7862.333333333333
,N,COMP,G,3,28367.666666666668
,N,SS,B,1296,22257.8
N,N,COMP,B,1625,48673.2
,N,COMP,A+,2706,15899.0
N,N,COMP,A,896,2436.6
,Y,SS,A,1307,33051.0
,N,SS,A+,767,24966.2
N,Y,SS,A,165,58295.6
Y,N,SS,B,867,27239.428571428572
,Y,COMP,G,805,17781.2
N,N,COMP,A,1952,23422.81818181818
,Y,SS,G,289,26337.0
Y,N,COMP,A,1778,12493.75
Y,N,COMP,G,1766,16382.0
,N,COMP,B,1470,288371.0
N,N,COMP,A,1038,43382.0
N,N,SS,B,45,5590.285714285715
Y,Y,SS,G,281,5226.2307692307695
N,N,SS,A+,253,35023.5
Y,Y,COMP,A,2085,19992.454545454544
,Y,COMP,A,2169,182583.0
Y,N,SS,B,210,20555.444444444445
N,N,SS,B,78,56928.5
,N,COMP,G,837,61498.666666666664
N,Y,COMP,B,2783,16863.8
N,Y,SS,A+,793,25374.11111111111
,Y,COMP,A+,1100,14180.083333333334
N,Y,SS,A,1615,27490.2
,Y,SS,B,1782,9500.0
,Y,SS,A+,937,1463.6666666666667
N,N,SS,G,340,68034.33333333333
Y,Y,COMP,B,1493,198298.0
Y,N,COMP,B,111,16093.57142857143
,N,COMP,A,452,20992.571428571428
Y,N,COMP,A+,2392,29912.428571428572
N,N,COMP,A,2663,15103.666666666666
N,N,COMP,A,1915,37384.6
Y,N,SS,G,1870,12082.6
Y,N,SS,G,2702,60276.5
Y,N,SS,A,805,13330.0
,N,SS,G,2517,18886.8
,N,SS,A,1576,9048.266666666666
,N,SS,A+,1937,4533.133333333333
Y,N,SS,G,553,92457.66666666667
Y,N,SS,G,1471,8773.636363636364
Y,N,COMP,G,874,2630.3076923076924
Y,N,SS,G,1000,10582.266666666666
,N,COMP,A,638,34056.71428571428
,N,COMP,A+,785,14148.92857142857
,Y,SS,G,1677,932.7142857142857
Y,Y,SS,B,1420,7455.5
N,Y,COMP,B,1705,27190.0
Y,Y,SS,B,2157,78567.66666666667
Y,N,COMP,G,2396,3862.6666666666665
N,N,COMP,A+,886,26277.285714285714
,Y,SS,G,65,23986.5
Y,N,SS,A+,1573,33530.0
Y,N,COMP,A,26,17311.666666666668
Y,Y,COMP,B,1274,19550.266666666666
N,N,COMP,A+,1213,45031.0
Y,N,COMP,A,1722,47181.0
,N,COMP,G,2123,15278.714285714286
,N,SS,B,1627,5060.5
N,Y,COMP,G,2798,25673.2
Y,Y,COMP,A+,241,37028.0
N,N,COMP,B,542,17557.333333333332
Y,N,COMP,A,367,16765.5
N,Y,COMP,A,2089,14106.0
N,Y,COMP,G,449,6126.0
Y,Y,COMP,G,2033,182069.0
Y,N,COMP,A+,999,9096.0
,Y,SS,A,2800,18144.85714285714
N,Y,COMP,A+,2689,11793.5
,N,COMP,G,1363,8741.3
N,N,SS,B,413,9734.916666666666
,Y,COMP,G,2295,26014.666666666668
,Y,SS,A+,879,36011.0
,Y,SS,A,1746,61750.5
,Y,SS,B,361,15787.866666666667
Y,Y,COMP,A,2502,146554.0
,Y,COMP,B,1270,6881.666666666667
N,N,COMP,B,2301,9852.6
Y,Y,SS,A,1835,53545.6
N,Y,COMP,G,1052,23922.3
N,N,SS,B,1224,10061.545454545454
Y,Y,SS,B,180,148688.0
,Y,SS,B,1865,5932.75
,Y,COMP,B,1597,20378.090909090908
N,Y,COMP,A,683,15974.125
N,N,SS,A+,1601,70707.33333333333
,Y,SS,G,1124,47695.0
,Y,COMP,B,2286,30839.375
N,Y,SS,A,825,10114.57142857143
Y,N,COMP,A,2139,20681.6
N,N,COMP,A+,2421,97535.0
N,N,COMP,B,2259,87642.0
,N,SS,A,618,87400.33333333333
Y,Y,COMP,G,987,17303.30769230769
,N,COMP,A,1434,9419.642857142857
,N,SS,G,909,9989.0
Y,Y,COMP,G,1427,15689.666666666666
Y,N,SS,B,352,35023.5
Y,Y,COMP,A+,2420,8101.0
Y,N,COMP,B,1921,33300.0
N,Y,SS,A+,1787,15998.857142857143
,N,COMP,B,1739,42792.42857142857
Y,N,COMP,G,1129,25243.375
,Y,SS,G,2545,29789.4
,N,COMP,G,2619,11327.2
N,N,COMP,B,1676,23171.75
N,Y,SS,G,1471,16155.75
Y,Y,SS,A+,2531,29183.428571428572
,N,COMP,A,2257,273216.0
Y,Y,COMP,G,2486,110800.0
,N,SS,B,1394,36543.0
Y,N,COMP,A,2415,92224.5
,N,SS,B,1409,24744.166666666668
,N,COMP,A+,2743,20026.14285714286
Y,Y,COMP,G,2190,3620.266666666667
Y,Y,COMP,A,2441,7004.928571428572
N,Y,SS,B,697,12046.555555555555
,N,COMP,A,1536,4175.266666666666
,N,COMP,G,1120,22746.25
,Y,COMP,A,1590,293.2142857142857
N,Y,COMP,A+,2290,10899.76923076923
,N,COMP,G,2315,59532.4
,N,SS,A+,257,6893.5
Y,Y,SS,A,1851,15076.363636363636
,Y,SS,A+,416,16181.714285714286
,N,COMP,G,1197,8685.785714285714
Y,Y,SS,G,2158,14395.833333333334
Y,N,COMP,B,1360,21289.076923076922
Y,N,SS,A,1445,30052.2
,N,SS,G,2439,19478.81818181818
,Y,SS,B,2403,24765.14285714286
Y,N,COMP,A,2509,14740.583333333334
,Y,COMP,B,34,11301.6
,Y,SS,A,2211,65230.0
Y,N,COMP,B,1656,51543.6
N,N,SS,G,1604,10939.733333333334
N,Y,SS,A,1903,18908.333333333332
,Y,COMP,A+,2713,47980.666666666664
Y,N,SS,G,1471,24125.222222222223
N,N,COMP,A+,2442,47853.833333333336
,Y,SS,A,115,21349.46153846154
N,Y,COMP,B,1458,8866.5
,N,SS,B,1793,14863.272727272728
Y,Y,SS,B,154,27560.2
,N,SS,A+,1549,2861.5454545454545
N,Y,COMP,B,1423,9530.4
Y,N,SS,G,1136,269177.0
Y,Y,SS,B,258,52597.25
,N,SS,A+,15,21918.333333333332
Y,N,COMP,B,764,32626.75
Y,N,COMP,B,1688,8165.25
,N,COMP,B,1113,30624.222222222223
,N,COMP,A,2573,15958.153846153846
N,Y,COMP,A+,1236,12851.8
N,N,SS,A,523,62298.75
Y,Y,COMP,B,616,47673.5
Y,N,COMP,G,1276,4487.222222222223
N,Y,COMP,B,1652,23961.363636363636
Y,Y,SS,A,1348,6997.8
N,Y,COMP,G,532,5201.416666666667
Y,N,COMP,G,1002,72.2
N,Y,SS,B,385,85348.0
Y,N,SS,A+,1795,434.4
,N,COMP,A+,2789,123062.5
Y,N,SS,B,410,33067.0
Y,Y,COMP,A+,2017,85404.0
N,Y,COMP,B,21,21700.833333333332
N,Y,COMP,A+,437,15026.666666666666
,N,SS,A+,1894,13082.384615384615
Y,Y,SS,A,2752,63757.5
,Y,COMP,A,2081,24199.25
,N,SS,A+,457,9634.0
N,Y,COMP,A,964,149374.0
,Y,COMP,A,2514,28091.571428571428
Y,N,COMP,A+,786,37.38461538461539
Y,N,COMP,A+,2164,13801.7
Y,N,COMP,A,248,22559.666666666668
N,Y,SS,B,793,23564.0
Y,Y,SS,G,2238,21468.636363636364
N,Y,SS,B,488,29153.0
Y,N,SS,A,2778,42345.0
N,Y,SS,A+,1621,30157.833333333332
Y,N,COMP,A+,1968,1349.1538461538462
Y,N,COMP,A,2379,30665.777777777777
Y,N,COMP,A,2695,22266.571428571428
Y,Y,COMP,A,1273,8011.0
,N,COMP,B,2533,1123.8461538461538
N,Y,SS,G,1720,14074.5
Y,N,SS,A+,1335,183.75
,Y,COMP,A,1553,34103.6
,N,SS,A+,697,213.16666666666666
,Y,SS,B,488,5709.7
N,N,COMP,A,570,14993.2
,Y,SS,A,1272,24190.909090909092
Y,Y,COMP,G,508,32454.666666666668
,Y,COMP,G,937,44185.0
Y,N,SS,A+,1476,48705.333333333336
Y,N,COMP,A+,1147,36580.875
Y,N,COMP,G,1228,3878.6428571428573
,Y,SS,A,2540,17699.375
Y,N,COMP,G,1871,3285.8571428571427
N,Y,SS,A,958,15895.90909090909
N,Y,COMP,A+,1813,8299.285714285714
Y,N,COMP,A+,252,3794.785714285714
N,Y,COMP,A,2537,18433.333333333332
,Y,COMP,B,1137,24572.090909090908
N,Y,SS,G,1094,16980.6
,N,COMP,A,497,7700.444444444444
,N,SS,G,2749,895.8461538461538
,Y,COMP,A+,2615,5350.0
Y,Y,SS,B,995,19910.5
N,N,COMP,B,1817,317.875
N,Y,COMP,G,2362,12330.5
Y,N,COMP,A+,209,9276.642857142857
Y,N,SS,A+,536,253491.0
Y,Y,COMP,G,1267,12536.142857142857
,N,SS,G,2525,133402.5
N,N,COMP,B,373,6015.083333333333
N,Y,SS,G,1532,17429.090909090908
N,N,SS,G,283,17488.6
,Y,COMP,G,190,6599.1
,N,SS,A+,761,8676.555555555555
Y,N,SS,B,2417,20312.2
N,N,SS,A+,2470,42535.166666666664
Y,N,COMP,A,1437,14143.8
,N,SS,A,2195,22266.75
N,Y,SS,G,74,127972.0
,N,SS,B,2348,5259.8
,Y,SS,B,111,79056.0
,Y,COMP,B,2337,915.1111111111111
Y,N,SS,A,2063,9716.111111111111
,Y,SS,B,917,2515.9285714285716
N,N,COMP,B,824,109623.0
,Y,SS,B,1777,6329.0
N,N,COMP,G,1821,44903.166666666664
Y,Y,COMP,A+,1944,3730.4444444444443
N,Y,COMP,A,1495,45256.333333333336
,Y,COMP,G,2370,12154.4
,Y,COMP,B,70,6693.909090909091
,N,COMP,B,457,28129.0
N,Y,COMP,A,1834,10477.0
N,Y,COMP,G,630,9829.357142857143
Y,N,SS,B,2075,29041.1
N,Y,COMP,B,1162,7129.25
,Y,SS,B,1841,54292.0
N,Y,COMP,B,1612,10956.23076923077
Y,Y,COMP,A,19,20702.0
,N,COMP,A+,496,22972.076923076922
Y,N,COMP,A,1048,10175.857142857143
Y,Y,COMP,G,1261,17272.0
Y,N,SS,B,2548,4973.266666666666
,Y,SS,G,693,3759.6666666666665
N,N,COMP,A,1993,35584.625
,N,COMP,A,2461,1064.2857142857142
,N,SS,G,560,29899.875
N,Y,COMP,A+,988,7106.25
,Y,SS,A,1942,52014.0
Y,Y,SS,G,851,24531.75
Y,Y,SS,A+,8,19256.333333333332
N,Y,COMP,A,2714,18261.666666666668
Y,Y,SS,B,821,11504.75
N,Y,COMP,A,203,21666.777777777777
N,N,COMP,G,1218,538.2
N,Y,SS,B,1784,10382.25
Y,N,SS,A+,893,67392.5
,N,COMP,A,1149,96.83333333333333
,Y,COMP,B,1867,7266.642857142857
Y,N,SS,B,117,19777.5
,N,SS,A,1224,26490.4
,Y,SS,B,179,75317.0
N,N,SS,A,563,17213.85714285714
Y,Y,COMP,A+,2489,37132.42857142857
,Y,SS,G,2215,2946.3571428571427
Y,N,SS,B,1945,37120.142857142855
N,N,COMP,A,2353,62658.666666666664
Y,N,COMP,A,413,43195.0
Y,N,COMP,A,2477,13913.4
N,Y,SS,G,735,30753.5
Y,Y,COMP,G,1250,9838.5
Y,N,SS,B,945,7963.2
,N,SS,G,802,12410.0
Y,N,SS,B,1490,5268.75
,Y,SS,G,2068,24208.14285714286
Y,Y,SS,A,2115,31963.125
N,N,COMP,B,2073,38064.0
Y,N,SS,G,2199,13432.666666666666
N,N,COMP,A+,1269,31268.25
Y,Y,COMP,G,536,67.6
Y,Y,SS,A,955,724.25
Y,N,COMP,A,1856,17539.833333333332
Y,Y,COMP,B,883,44863.6
Y,N,SS,G,673,27684.5
,Y,COMP,A,1411,21824.090909090908
N,N,SS,G,206,19517.615384615383
N,N,COMP,A,2772,2624.866666666667
N,Y,COMP,A+,151,142721.0
Y,N,SS,A,1428,7823.6
,Y,COMP,G,1505,61481.0
Y,N,COMP,A,104,28926.875
Y,Y,COMP,A,543,3796.0
Y,N,SS,B,814,2768.3333333333335
N,Y,SS,A,1109,19436.4
Y,N,SS,A,742,22344.75
,Y,COMP,A,2523,4058.0
Y,Y,SS,B,1355,112454.5
Y,N,SS,A+,2325,5671.666666666667
,N,COMP,B,2031,16339.285714285714
N,N,SS,A,2136,10732.777777777777
N,N,SS,G,1649,132330.0
N,Y,COMP,A+,1556,35210.0
Y,Y,SS,A,989,23290.25
N,N,SS,B,1269,45427.25
Y,N,COMP,G,1400,6546.666666666667
N,N,SS,G,1549,75812.66666666667
Y,N,SS,A+,586,217727.0
,N,COMP,G,2307,9556.23076923077
,N,SS,B,2014,20204.2
,Y,COMP,A,2429,1925.0
,Y,COMP,A,26,6841.0
,Y,SS,A,2422,36560.6
N,N,SS,B,1858,2309.4285714285716
N,N,COMP,A,1571,12142.333333333334
N,Y,COMP,A,2653,43234.166666666664
,N,COMP,G,1846,41427.4
,Y,COMP,G,293,27761.2
N,N,COMP,B,2235,2019.5714285714287
Y,N,COMP,G,1098,14539.8
N,Y,SS,A,1231,10661.57142857143
,N,SS,B,2262,7782.875
N,N,COMP,B,544,58527.2
Y,Y,COMP,A+,2131,18863.533333333333
N,Y,COMP,A,1496,8439.818181818182
Y,Y,COMP,B,1095,5511.0
Y,Y,SS,A+,2348,32352.666666666668
Y,Y,SS,A+,1931,17702.4
N,N,SS,B,300,162833.0
Y,Y,COMP,A,507,15834.555555555555
Y,N,COMP,A,1654,16573.214285714286
,N,SS,A+,982,47878.2
N,Y,SS,A,127,13135.333333333334
Y,Y,COMP,A+,2201,1204.2
,N,SS,G,132,8701.666666666666
,Y,COMP,A+,1693,9713.538461538461
,N,SS,A+,1106,27498.1
,N,SS,A+,474,11910.785714285714
,Y,SS,A,2033,14251.714285714286
Y,N,SS,B,466,8574.25
Y,N,SS,A,2191,49042.5
Y,N,SS,A+,2177,73470.33333333333
N,N,SS,B,1861,14630.666666666666
N,N,COMP,A,1648,3719.625
Y,N,SS,A,695,23782.0
N,N,SS,A,1035,27479.571428571428
N,Y,COMP,A,267,1614.3333333333333
,Y,SS,B,1852,15121.076923076924
Y,N,COMP,G,954,55540.0
Y,Y,SS,A+,887,2913.4
Y,Y,COMP,B,2797,205438.0
N,N,COMP,A+,2671,15292.5
N,N,COMP,A+,1577,10519.111111111111
Y,N,SS,A,967,20201.25
Y,N,SS,A,888,29409.2
Y,Y,SS,A+,544,34266.0
N,N,COMP,A,2787,9457.833333333334
,N,COMP,G,2297,11086.142857142857
N,N,COMP,G,2153,39212.5
N,N,SS,A+,1467,37037.333333333336
Y,N,COMP,A+,2337,20214.625
,N,COMP,G,688,475.4166666666667
N,N,COMP,A+,917,22445.363636363636
Y,Y,SS,G,1558,15853.8
N,N,SS,A+,1481,11964.444444444445
N,N,SS,G,192,24556.2
N,Y,SS,B,673,21849.5
N,N,COMP,G,2677,9719.625
Y,Y,COMP,A,14,18925.5
N,N,COMP,A+,910,15357.5
Y,N,SS,A+,2233,21060.8
Y,Y,SS,A,653,292719.0
N,N,COMP,A,1093,33543.125
,N,SS,G,14,11002.857142857143
Y,N,COMP,A,1336,34790.2
N,Y,SS,G,365,44675.833333333336
Y,Y,SS,A,2605,4955.5
Y,Y,COMP,B,2302,56982.333333333336
Y,N,SS,G,1449,8533.583333333334
N,N,COMP,B,2339,2831.8
N,N,SS,B,1491,29523.833333333332
Y,Y,COMP,B,954,4916.357142857143
,Y,SS,G,1738,5415.333333333333
N,N,COMP,A,1707,26376.5
Y,N,COMP,A+,2271,85716.0
N,N,SS,B,68,7690.214285714285
N,Y,COMP,A+,435,21600.69230769231
N,Y,SS,G,641,6311.090909090909
Y,Y,SS,A,2737,1839.5
Y,N,COMP,A+,2016,12544.333333333334
N,N,SS,B,9,56968.6
,Y,COMP,A+,567,21752.153846153848
,N,COMP,G,625,10117.166666666666
N,Y,COMP,B,2669,9115.0
Y,Y,SS,A,619,9877.583333333334
,Y,COMP,A,2210,70770.66666666667
N,N,SS,G,25,38791.2
,Y,SS,G,777,12919.454545454546
Y,N,COMP,B,679,72480.0
,Y,SS,A+,812,56447.2
,N,COMP,G,378,64012.0
Y,Y,COMP,B,1039,6601.461538461538
Y,N,COMP,G,1478,221223.0
Y,Y,COMP,B,1554,9377.181818181818
N,Y,COMP,A,2523,8408.785714285714
Y,N,COMP,B,2576,34902.0
Y,N,SS,B,2620,69355.75
,N,COMP,G,172,9503.625
,N,SS,B,62,14810.0
N,Y,COMP,A+,2354,8559.461538461539
,Y,SS,A+,723,6534.5
,N,SS,A+,790,26347.75
N,N,SS,B,525,21735.8
,N,COMP,A,1258,40039.333333333336
Y,N,SS,B,1002,16348.333333333334
,N,COMP,G,1325,67422.0
,Y,COMP,G,1626,16607.0
N,N,SS,B,527,9340.6
N,Y,SS,G,1576,19945.866666666665
N,Y,COMP,A+,1612,27684.875
,N,COMP,B,324,58007.8
N,N,SS,G,1780,27152.454545454544
,Y,SS,B,39,225889.0
,Y,SS,G,764,31764.75
,Y,COMP,G,2374,6410.285714285715
Y,Y,COMP,A+,326,22879.5
Y,N,SS,A+,1085,30380.11111111111
,Y,COMP,A+,2533,11974.166666666666
Y,Y,COMP,A,1970,14701.666666666666
,N,COMP,A+,1004,1956.7692307692307
,Y,COMP,B,2472,3811.4545454545455
Y,Y,COMP,G,1780,236122.0
Y,N,COMP,A,345,25545.375
Y,N,COMP,G,1077,5914.333333333333
Y,N,COMP,A+,2176,27646.5
,Y,COMP,A,1494,172832.0
,N,SS,A+,972,13634.75
Y,N,SS,B,2590,24810.7
Y,N,SS,B,1860,32809.88888888889
,N,COMP,G,2514,84690.0
N,N,COMP,A,2010,4927.454545454545
Y,Y,SS,A+,2680,210701.0
,N,COMP,A,2032,24182.0
N,Y,COMP,G,438,21411.375
,Y,SS,A+,1752,9424.285714285714
Y,Y,SS,A,1369,8638.642857142857
,Y,SS,G,1481,35411.125
N,Y,SS,A+,1644,6500.375
N,Y,SS,A,2768,45523.8
N,N,COMP,G,2039,109940.0
N,N,SS,A+,759,294619.0
N,Y,SS,A+,2625,17590.571428571428
N,N,SS,B,2035,11928.25
N,Y,SS,A+,153,8814.083333333334
N,N,SS,A+,1425,640.6666666666666
Y,Y,SS,G,104,7512.454545454545
,Y,COMP,G,1608,20510.777777777777
N,N,SS,B,1908,22512.625
Y,N,SS,B,1963,8529.0
N,Y,SS,B,713,48734.833333333336
Y,N,COMP,G,2794,12561.42857142857
,N,COMP,A,1568,14383.0
Y,N,COMP,G,2587,37412.625
Y,N,COMP,A,2586,8958.454545454546
,N,SS,A,2161,18963.14285714286
N,Y,COMP,A,1262,3963.6153846153848
Y,N,COMP,B,1164,17864.0
N,Y,COMP,G,1346,41.111111111111114
,Y,SS,B,2697,6667.454545454545
N,N,COMP,G,2717,11773.333333333334
Y,N,SS,A+,2477,50686.75
Y,Y,SS,A,2497,16861.333333333332
Y,Y,SS,A,889,3577.0
Y,N,COMP,B,1468,38964.2
,N,COMP,A,1210,56156.0
N,N,SS,A+,1820,25318.571428571428
,Y,SS,A,435,92575.0
,Y,COMP,A,1005,7246.0
N,Y,SS,A+,1054,3631.0
,Y,COMP,A+,1809,83598.0
Y,N,COMP,G,2711,8709.875
,Y,SS,A+,383,5786.0
N,N,COMP,B,978,10780.777777777777
,Y,SS,A+,2313,20766.0
Y,Y,COMP,G,847,16387.0
N,N,SS,G,761,37502.42857142857
,Y,COMP,A,2397,27313.625
,N,SS,A,1754,18803.81818181818
Y,Y,SS,B,2686,18611.0
Y,N,COMP,G,1365,13156.2
,N,COMP,A,2052,16181.333333333334
Y,N,SS,B,3,14945.2
Y,N,SS,G,536,77270.66666666667
,Y,SS,B,2648,20874.0
Y,Y,SS,B,1092,27755.0
N,N,COMP,A+,663,8116.090909090909
,N,COMP,A,1555,16192.076923076924
N,N,COMP,A+,302,233221.0
,N,COMP,A+,2085,40780.0
N,Y,COMP,A,1458,19169.533333333333
Y,N,COMP,G,1664,133495.5
Y,N,SS,B,1875,145071.5
Y,Y,SS,B,757,6791.454545454545
,N,COMP,B,1860,46994.333333333336
Y,Y,SS,A,1376,3045.1666666666665
Y,Y,SS,A+,618,27207.0
,N,SS,A+,2738,60271.5
Y,N,SS,G,2537,8291.222222222223
N,Y,COMP,A+,817,56719.8
,Y,COMP,A,2604,19692.666666666668
N,Y,COMP,A+,2479,29769.571428571428
,N,SS,A,1520,52975.0
,Y,SS,G,2215,4711.428571428572
,N,COMP,G,2136,1352.8
N,Y,COMP,A,2790,82454.0
,N,SS,A+,2204,56478.2
N,N,SS,A,2566,14967.642857142857
N,Y,COMP,B,422,29268.0
N,Y,COMP,A,2512,14171.636363636364
Y,Y,SS,G,1523,28907.5
Y,N,COMP,G,1643,12193.181818181818
Y,Y,COMP,A,1966,13643.272727272728
,N,COMP,B,801,18708.64285714286
N,Y,SS,A+,1790,7750.285714285715
,Y,SS,B,1180,8960.3
,N,COMP,G,1504,31018.5
N,N,COMP,B,1602,139681.0
N,N,COMP,A+,926,51020.666666666664
Y,Y,SS,B,2473,51497.25
Y,Y,SS,A+,1061,123271.0
Y,Y,SS,A+,25,26339.9
,N,SS,B,102,9718.583333333334
Y,Y,SS,G,2020,2572.1666666666665
N,Y,COMP,A,2797,94986.33333333333
Y,N,COMP,A+,1845,26842.25
N,N,SS,G,2096,19086.75
N,Y,COMP,A,1676,7703.333333333333
,N,SS,A,1919,3985.8
,Y,SS,B,1884,14919.4
